@RELATION SIMP
@ATTRIBUTE mgl NUMERIC
@ATTRIBUTE stdr NUMERIC
@ATTRIBUTE stdg NUMERIC
@ATTRIBUTE stdb NUMERIC
@ATTRIBUTE sknr NUMERIC
@ATTRIBUTE skng NUMERIC
@ATTRIBUTE sknb NUMERIC
@ATTRIBUTE rmsr NUMERIC
@ATTRIBUTE rmsg NUMERIC
@ATTRIBUTE rmsb NUMERIC
@ATTRIBUTE mdr NUMERIC
@ATTRIBUTE mdg NUMERIC
@ATTRIBUTE mdb NUMERIC
@ATTRIBUTE class {bart, marge, lisa, maggie, homer}

@DATA
0.529795, 0.285809, 0.264648, 0.301887, -0.497729, -0.332672, 0.118293, 0.647293, 0.585128, 0.529787, 0.24793, 0.21967, 0.26524, lisa
0.396477, 0.296304, 0.304447, 0.321422, -0.217934, 0.403183, 1.25494, 0.616087, 0.47121, 0.382232, 0.264032, 0.272287, 0.268952, lisa
0.542953, 0.315394, 0.31964, 0.372186, -0.562887, -0.254463, 0.47284, 0.69191, 0.625463, 0.529052, 0.28149, 0.286546, 0.346778, lisa
0.465533, 0.32039, 0.333643, 0.369847, -0.448903, 0.099693, 0.943081, 0.663293, 0.555959, 0.455282, 0.288197, 0.302652, 0.330495, lisa
0.516299, 0.324345, 0.337357, 0.36562, -0.563396, -0.212628, 0.273323, 0.677592, 0.603776, 0.532427, 0.285549, 0.308948, 0.34696, lisa
0.556756, 0.317274, 0.297287, 0.332812, -0.506663, -0.411509, -0.227323, 0.667982, 0.629071, 0.588323, 0.273826, 0.250441, 0.290691, lisa
0.416713, 0.323053, 0.339056, 0.316516, -0.305945, 0.39929, 1.27063, 0.644609, 0.511441, 0.38346, 0.293384, 0.308632, 0.264551, lisa
0.405116, 0.340295, 0.338022, 0.32713, -0.307446, 0.443028, 1.21883, 0.651843, 0.495005, 0.399393, 0.310827, 0.30961, 0.274206, lisa
0.436795, 0.334868, 0.345535, 0.359334, -0.357258, 0.237344, 0.882531, 0.64867, 0.533271, 0.455053, 0.30476, 0.31825, 0.320794, lisa
0.462117, 0.321513, 0.307813, 0.30386, -0.400467, -0.026444, 1.15939, 0.647431, 0.542717, 0.410126, 0.290595, 0.279384, 0.249519, lisa
0.447089, 0.324615, 0.308861, 0.297059, -0.374738, 0.165652, 1.3503, 0.648599, 0.525641, 0.391541, 0.293349, 0.281821, 0.236993, lisa
0.404963, 0.320103, 0.304808, 0.284559, -0.301703, 0.310811, 1.60428, 0.631002, 0.481771, 0.348908, 0.288424, 0.278057, 0.219813, lisa
0.481066, 0.298685, 0.309102, 0.358329, -0.40873, 0.140204, 0.802597, 0.67044, 0.545605, 0.48477, 0.268525, 0.27811, 0.319738, lisa
0.506112, 0.333871, 0.305608, 0.381278, -0.55048, -0.143979, 0.72469, 0.689885, 0.57612, 0.509013, 0.294596, 0.263268, 0.347742, bart
0.447886, 0.332515, 0.301324, 0.31602, -0.244588, 0.0500452, 1.16702, 0.616906, 0.536816, 0.41923, 0.304188, 0.26618, 0.260557, bart
0.478217, 0.335662, 0.30918, 0.343461, -0.46319, -0.0890431, 0.315968, 0.641158, 0.555863, 0.512353, 0.294768, 0.267543, 0.311197, bart
0.486795, 0.337414, 0.319619, 0.334638, -0.372912, -0.0645109, 0.712153, 0.653563, 0.572504, 0.486694, 0.31061, 0.290144, 0.295138, bart
0.488787, 0.331908, 0.291633, 0.297139, -0.350751, 0.0199856, 1.08173, 0.663979, 0.556953, 0.447133, 0.305135, 0.25787, 0.244524, bart
0.452635, 0.329611, 0.22063, 0.222795, -0.231737, -0.192177, 0.988485, 0.617165, 0.501977, 0.355691, 0.305472, 0.174228, 0.184004, bart
0.439614, 0.262205, 0.262506, 0.268923, 0.218334, 0.393676, 0.966466, 0.558502, 0.511986, 0.40125, 0.221633, 0.223863, 0.220517, bart
0.49519, 0.337645, 0.34457, 0.372659, -0.452454, 0.125394, 0.54857, 0.687395, 0.578693, 0.528186, 0.307405, 0.307733, 0.334449, bart
0.549877, 0.344022, 0.334215, 0.397128, -0.488898, -0.26042, 0.30608, 0.69349, 0.643506, 0.570437, 0.313028, 0.300789, 0.37573, bart
0.523637, 0.324148, 0.337027, 0.393188, -0.495358, -0.148729, 0.406743, 0.678791, 0.616333, 0.538614, 0.293209, 0.306942, 0.37424, bart
0.537546, 0.354537, 0.34631, 0.377961, -0.362124, -0.257019, 0.118146, 0.665758, 0.641358, 0.590275, 0.326623, 0.313694, 0.354598, bart
0.506434, 0.319352, 0.316868, 0.336337, -0.537831, -0.260676, 0.252675, 0.655955, 0.589342, 0.505502, 0.276507, 0.28084, 0.315441, bart
0.520006, 0.326065, 0.315235, 0.328223, -0.425058, -0.0763926, 0.389977, 0.670444, 0.596634, 0.527674, 0.296101, 0.285321, 0.303369, bart
0.462531, 0.370891, 0.35545, 0.346615, -0.15924, 0.139824, 0.300511, 0.636955, 0.567658, 0.540685, 0.348899, 0.330966, 0.314662, bart
0.449433, 0.329898, 0.335005, 0.353658, -0.318458, 0.124052, 0.697536, 0.631988, 0.546152, 0.466703, 0.300602, 0.311384, 0.324238, bart
0.454412, 0.363736, 0.338, 0.332722, -0.294108, 0.0263622, 0.310647, 0.628135, 0.555016, 0.499292, 0.334546, 0.308285, 0.298124, bart
0.472641, 0.334107, 0.317844, 0.354522, -0.456866, 0.0386508, 0.675268, 0.663434, 0.553494, 0.468338, 0.301097, 0.282019, 0.323762, bart
0.441253, 0.345511, 0.332111, 0.348858, -0.261654, 0.21706, 0.596976, 0.627008, 0.535525, 0.480344, 0.313802, 0.295643, 0.314453, bart
0.529427, 0.315455, 0.304613, 0.361066, -0.557819, -0.282494, 0.0560871, 0.656694, 0.605758, 0.563829, 0.272463, 0.258598, 0.327661, bart
0.470971, 0.332532, 0.327618, 0.340242, -0.289762, 0.0243417, 0.168301, 0.622102, 0.558272, 0.540931, 0.301829, 0.30057, 0.312241, bart
0.406878, 0.283413, 0.248505, 0.269537, 0.301563, 0.381348, 0.47569, 0.513562, 0.470795, 0.468445, 0.241398, 0.20696, 0.232305, bart
0.424556, 0.360383, 0.328684, 0.331592, -0.209869, 0.352021, 0.625039, 0.619191, 0.518876, 0.468871, 0.333295, 0.292251, 0.294047, bart
0.38652, 0.338946, 0.284646, 0.275808, -0.198254, 0.32554, 1.43367, 0.600947, 0.463118, 0.343314, 0.310715, 0.246658, 0.221041, bart
0.433732, 0.363084, 0.325975, 0.305462, -0.185602, 0.0496017, 0.583218, 0.604116, 0.538604, 0.446839, 0.337736, 0.297084, 0.265303, bart
0.403661, 0.2973, 0.246187, 0.260327, 0.155654, 0.577807, 1.19028, 0.549975, 0.470809, 0.366552, 0.255168, 0.209056, 0.212978, bart
0.463894, 0.335204, 0.302414, 0.328968, -0.247585, -0.0660825, 0.115611, 0.591012, 0.553401, 0.519732, 0.296858, 0.263939, 0.292409, bart
0.300276, 0.294783, 0.262483, 0.308331, 1.0325, 0.512087, 0.817247, 0.412428, 0.408708, 0.403209, 0.239498, 0.22279, 0.26946, bart
0.444868, 0.351767, 0.327408, 0.342046, -0.189588, 0.11448, 0.146017, 0.602626, 0.539786, 0.530076, 0.324934, 0.295987, 0.308766, bart
0.39352, 0.292852, 0.256143, 0.243851, -0.0189702, 0.428437, 1.48824, 0.560228, 0.460286, 0.333219, 0.251426, 0.21626, 0.189153, bart
0.466345, 0.330829, 0.31566, 0.348561, -0.355, -0.0392178, 0.31587, 0.606835, 0.55834, 0.515954, 0.299019, 0.279506, 0.309644, bart
0.489782, 0.309662, 0.322059, 0.370138, -0.411201, -0.121043, 0.477598, 0.641328, 0.578072, 0.507689, 0.277369, 0.288637, 0.345249, bart
0.483226, 0.328452, 0.316152, 0.344424, -0.425022, 0.0124185, 0.826539, 0.663996, 0.5683, 0.450449, 0.298249, 0.284767, 0.310402, bart
0.515993, 0.325919, 0.335307, 0.387115, -0.488945, -0.110349, 0.3652, 0.672276, 0.607181, 0.537654, 0.290751, 0.303156, 0.364797, bart
0.536428, 0.378069, 0.357266, 0.352957, -0.519752, -0.240889, 0.292379, 0.697785, 0.641702, 0.547777, 0.346245, 0.327146, 0.319347, bart
0.455469, 0.36663, 0.326415, 0.326778, -0.232699, 0.0968671, 0.765018, 0.635795, 0.550446, 0.476219, 0.343036, 0.29455, 0.287324, bart
0.557169, 0.3463, 0.342818, 0.323353, -0.414807, -0.341449, 0.612212, 0.692095, 0.668544, 0.481326, 0.317421, 0.312313, 0.281588, homer
