@RELATION SIMP
@ATTRIBUTE mgl NUMERIC
@ATTRIBUTE stdr NUMERIC
@ATTRIBUTE stdg NUMERIC
@ATTRIBUTE stdb NUMERIC
@ATTRIBUTE sknr NUMERIC
@ATTRIBUTE skng NUMERIC
@ATTRIBUTE sknb NUMERIC
@ATTRIBUTE rmsr NUMERIC
@ATTRIBUTE rmsg NUMERIC
@ATTRIBUTE rmsb NUMERIC
@ATTRIBUTE mdr NUMERIC
@ATTRIBUTE mdg NUMERIC
@ATTRIBUTE mdb NUMERIC
@ATTRIBUTE class {bart, marge, lisa, maggie, homer}

@DATA
0.509727, 0.347801, 0.334371, 0.372098, -0.442791, -0.145977, 0.810841, 0.689427, 0.60526, 0.482755, 0.315823, 0.302919, 0.334567, lisa
0.558686, 0.29613, 0.316845, 0.343337, -0.759624, -0.275308, 0.832648, 0.760654, 0.617638, 0.476066, 0.259825, 0.281838, 0.297626, lisa
0.580898, 0.327749, 0.322315, 0.375223, -0.874947, -0.377266, 0.416222, 0.76297, 0.64245, 0.566222, 0.284336, 0.280299, 0.343933, lisa
0.535861, 0.294462, 0.335538, 0.38205, -0.820858, -0.0214235, 0.0883849, 0.727813, 0.588074, 0.601462, 0.247245, 0.3062, 0.364012, lisa
0.528232, 0.350283, 0.342113, 0.380592, -0.540451, -0.0687222, 0.368534, 0.717562, 0.604652, 0.566476, 0.319633, 0.305306, 0.35174, lisa
0.531648, 0.307475, 0.327028, 0.361151, -0.626359, -0.136371, 0.740884, 0.723151, 0.601713, 0.497574, 0.272707, 0.292838, 0.321932, lisa
0.571278, 0.288493, 0.299044, 0.353441, -0.911007, -0.372887, 0.788002, 0.747422, 0.629238, 0.496718, 0.244881, 0.255637, 0.309959, lisa
0.316238, 0.31106, 0.285543, 0.275087, 0.437537, 0.535776, 0.933637, 0.464624, 0.426751, 0.359673, 0.27528, 0.247566, 0.236432, lisa
0.562178, 0.319443, 0.318341, 0.365692, -0.616023, -0.346354, 0.498743, 0.725258, 0.637031, 0.527058, 0.28453, 0.280221, 0.340698, lisa
0.570619, 0.313444, 0.32992, 0.361548, -0.670042, -0.222477, 0.258267, 0.737733, 0.639994, 0.560225, 0.278742, 0.296139, 0.339327, lisa
0.595971, 0.310457, 0.290015, 0.360824, -0.791175, -0.480798, 0.52508, 0.740534, 0.66534, 0.522406, 0.269595, 0.245037, 0.329231, lisa
0.554213, 0.350028, 0.319598, 0.359511, -0.539835, -0.275736, 0.292835, 0.719071, 0.628844, 0.554958, 0.319464, 0.282737, 0.33393, lisa
0.64712, 0.25992, 0.289501, 0.351531, -1.04146, -0.732196, -0.216542, 0.774038, 0.694568, 0.620328, 0.214209, 0.237153, 0.325666, lisa
0.602574, 0.261409, 0.308787, 0.35738, -1.00871, -0.388001, 0.341193, 0.778375, 0.650317, 0.546588, 0.218605, 0.269406, 0.325269, lisa
0.464108, 0.301434, 0.3209, 0.365699, -0.217691, 0.0211806, 0.685638, 0.623734, 0.554297, 0.47879, 0.267755, 0.286068, 0.33483, lisa
0.579887, 0.281876, 0.314472, 0.354375, -0.887698, -0.385831, 0.571503, 0.755567, 0.6393, 0.518908, 0.239078, 0.279878, 0.325742, lisa
0.535156, 0.310471, 0.32846, 0.353375, -0.64338, -0.190561, 0.771287, 0.72491, 0.60804, 0.489435, 0.273929, 0.293553, 0.313306, lisa
0.604871, 0.3301, 0.279016, 0.32633, -0.647918, -0.591948, 0.0651565, 0.736675, 0.660736, 0.590088, 0.29478, 0.228757, 0.296479, lisa
0.632123, 0.283166, 0.295817, 0.330756, -0.897529, -0.558336, -0.0324103, 0.767784, 0.681392, 0.608378, 0.239232, 0.254079, 0.292645, lisa
0.534222, 0.337524, 0.337403, 0.334013, -0.658702, -0.203732, 0.762951, 0.736937, 0.60923, 0.48582, 0.301487, 0.306618, 0.287411, lisa
0.6161, 0.260365, 0.314725, 0.347784, -1.31585, -0.535745, 0.528353, 0.804751, 0.663499, 0.52756, 0.208635, 0.276111, 0.315327, lisa
0.571844, 0.319273, 0.331318, 0.332188, -0.953014, -0.379325, 0.448141, 0.741712, 0.643773, 0.5316, 0.266518, 0.295788, 0.304453, lisa
0.586106, 0.294861, 0.305997, 0.341249, -0.725562, -0.295087, 0.438623, 0.748893, 0.6422, 0.545155, 0.257918, 0.270722, 0.308752, lisa
0.538358, 0.299484, 0.319371, 0.334079, -0.710707, -0.258293, 0.64853, 0.715472, 0.6067, 0.49071, 0.258244, 0.289909, 0.299017, lisa
0.53583, 0.321395, 0.321425, 0.380604, -0.712737, -0.277796, 0.367502, 0.704975, 0.610749, 0.535654, 0.278274, 0.286153, 0.357714, lisa
0.513634, 0.332407, 0.325971, 0.345193, -0.416683, -0.197195, 0.579319, 0.67554, 0.607196, 0.472645, 0.296707, 0.290054, 0.313365, lisa
0.460555, 0.323519, 0.336783, 0.345538, -0.51277, 0.163712, 1.02806, 0.694606, 0.539286, 0.429252, 0.291315, 0.310129, 0.30158, lisa
0.558578, 0.279744, 0.269632, 0.316826, -0.615009, -0.387401, 0.217603, 0.677875, 0.612264, 0.548961, 0.242296, 0.227241, 0.289529, lisa
0.434314, 0.324622, 0.29492, 0.318244, -0.287671, 0.099529, 0.588506, 0.611287, 0.510397, 0.439604, 0.294137, 0.26358, 0.290058, lisa
0.445558, 0.345691, 0.311934, 0.308229, -0.447793, 0.541244, 0.982149, 0.698401, 0.497512, 0.442952, 0.315565, 0.271662, 0.253349, lisa
0.503615, 0.337595, 0.322764, 0.330833, -0.493204, 0.0466272, 0.655034, 0.70703, 0.57041, 0.491299, 0.30914, 0.292203, 0.291679, lisa
0.472595, 0.334913, 0.338835, 0.336082, -0.32396, -0.0572603, 0.870724, 0.650019, 0.577282, 0.432988, 0.306619, 0.314774, 0.296501, lisa
0.530132, 0.275005, 0.324855, 0.363435, -0.994997, -0.333949, 0.54618, 0.710246, 0.601017, 0.487957, 0.220061, 0.28942, 0.340161, lisa
0.527359, 0.312409, 0.297822, 0.368811, -0.363656, -0.04609, 0.0518874, 0.674331, 0.588528, 0.575108, 0.284074, 0.264202, 0.351455, marge
0.5144, 0.354897, 0.325873, 0.383014, -0.521829, 0.092169, 0.450525, 0.708126, 0.583678, 0.559453, 0.319698, 0.29611, 0.350628, marge
0.5481, 0.329422, 0.319691, 0.349968, -0.602778, -0.223482, 0.565785, 0.714824, 0.621646, 0.528054, 0.29386, 0.289129, 0.315175, marge
0.530116, 0.368758, 0.296752, 0.315255, -0.45169, 0.0454069, -0.0705961, 0.695376, 0.589273, 0.573453, 0.339198, 0.260509, 0.2581, marge
0.61371, 0.280386, 0.28104, 0.330447, -1.11589, -0.542238, 0.194607, 0.752228, 0.664755, 0.556853, 0.224916, 0.2385, 0.300023, marge
0.540579, 0.334038, 0.29485, 0.336273, -0.597329, -0.13456, 0.125059, 0.676194, 0.609413, 0.562871, 0.289753, 0.250268, 0.302505, marge
0.546829, 0.328375, 0.322377, 0.354469, -0.782174, -0.0929301, 0.345805, 0.74012, 0.604244, 0.551717, 0.283316, 0.289459, 0.32307, marge
0.548928, 0.366449, 0.320591, 0.347675, -0.468986, -0.163163, 0.425072, 0.720895, 0.627581, 0.534247, 0.33914, 0.289047, 0.316185, marge
0.539798, 0.362058, 0.33558, 0.354509, -0.540604, -0.261021, 0.30303, 0.710514, 0.62778, 0.532035, 0.328089, 0.307686, 0.326559, marge
0.473039, 0.382472, 0.325589, 0.320474, 0.139648, 0.158461, 0.407812, 0.603709, 0.587266, 0.515115, 0.355734, 0.291798, 0.272091, marge
0.513051, 0.378985, 0.340588, 0.361218, -0.461211, -0.155334, 0.668354, 0.693702, 0.613655, 0.498997, 0.346744, 0.310857, 0.324779, marge
0.564599, 0.334847, 0.309757, 0.360587, -0.692725, -0.298396, 0.410681, 0.718402, 0.639845, 0.538078, 0.292238, 0.2737, 0.329152, marge
0.577711, 0.334351, 0.297465, 0.350285, -0.742188, -0.734536, 0.62075, 0.709288, 0.666098, 0.498369, 0.281337, 0.253002, 0.317121, marge
0.572243, 0.335186, 0.315671, 0.350562, -0.768839, -0.29177, 0.492489, 0.729237, 0.652273, 0.516108, 0.288116, 0.279309, 0.312834, marge
0.5483, 0.376911, 0.33265, 0.359962, -0.595528, -0.234789, 0.0205245, 0.721457, 0.625212, 0.589481, 0.342376, 0.297442, 0.334178, marge
0.529703, 0.356536, 0.312978, 0.337165, -0.335256, 0.0380615, 0.0532435, 0.676278, 0.604959, 0.578474, 0.329912, 0.282281, 0.302409, marge
0.634007, 0.291458, 0.285129, 0.361456, -1.11885, -0.748479, 0.196029, 0.75894, 0.698859, 0.566862, 0.234102, 0.232223, 0.331842, marge
0.522212, 0.331921, 0.30216, 0.344694, -0.272208, 0.0561768, 0.211963, 0.656711, 0.597854, 0.554512, 0.305908, 0.266067, 0.310849, marge
0.577206, 0.316689, 0.305558, 0.357134, -0.735561, -0.633312, -0.0473133, 0.683369, 0.659488, 0.584494, 0.265775, 0.250158, 0.319216, marge
0.551808, 0.332073, 0.317412, 0.352852, -0.580999, -0.509859, -0.0891198, 0.67083, 0.636529, 0.585869, 0.288466, 0.271215, 0.321075, marge
0.519638, 0.262211, 0.257386, 0.299669, -0.616174, -0.0704999, 0.199961, 0.644802, 0.565565, 0.514452, 0.211208, 0.206522, 0.260971, marge
0.499311, 0.353002, 0.341336, 0.342252, -0.433978, -0.0800582, 0.510008, 0.670149, 0.593883, 0.510817, 0.322181, 0.312693, 0.302345, marge
0.53652, 0.316119, 0.315638, 0.337632, -0.632635, -0.182383, -0.350365, 0.665426, 0.600742, 0.63228, 0.269627, 0.276694, 0.297972, marge
0.473407, 0.340352, 0.307563, 0.32409, -0.380836, -0.141191, 0.439224, 0.63938, 0.555186, 0.476283, 0.306427, 0.266074, 0.286079, marge
0.4394, 0.367907, 0.302735, 0.348273, 0.0304664, -0.104508, 0.171021, 0.580039, 0.537201, 0.522187, 0.348943, 0.260891, 0.328393, maggie
0.592233, 0.292015, 0.258373, 0.346235, -0.52923, -0.44718, 0.0678877, 0.70393, 0.647765, 0.572463, 0.257693, 0.205742, 0.321661, maggie
0.57307, 0.315668, 0.293338, 0.330963, -0.236735, -0.112824, 0.100678, 0.680033, 0.641844, 0.604045, 0.291593, 0.26087, 0.301287, maggie
0.546783, 0.361563, 0.312034, 0.3395, -0.236783, -0.283155, 0.296512, 0.672171, 0.636492, 0.564491, 0.332806, 0.26764, 0.306181, maggie
0.624801, 0.352806, 0.285762, 0.373798, -0.614946, -0.867318, -0.23653, 0.726042, 0.699592, 0.644653, 0.317263, 0.226523, 0.347864, maggie
0.582736, 0.31935, 0.310168, 0.369539, -0.48743, -0.521395, 0.00146468, 0.698932, 0.659058, 0.608928, 0.285068, 0.264388, 0.344838, maggie
0.572089, 0.304598, 0.271999, 0.309636, -0.403176, -0.22926, 0.350505, 0.691543, 0.628999, 0.561169, 0.272773, 0.236384, 0.278341, maggie
0.547978, 0.381903, 0.302532, 0.36828, -0.143065, -0.406259, 0.373756, 0.662369, 0.653895, 0.543062, 0.362101, 0.259846, 0.339789, maggie
0.500276, 0.342197, 0.328974, 0.360231, -0.262876, -0.15345, 0.00822202, 0.655342, 0.582519, 0.570866, 0.309227, 0.291067, 0.339776, maggie
0.468444, 0.338164, 0.309137, 0.327104, -0.478386, 0.226561, 0.898077, 0.681678, 0.534373, 0.450539, 0.307483, 0.274336, 0.285184, maggie
0.585892, 0.30246, 0.268877, 0.333531, -0.153829, -0.4987, -0.242821, 0.665166, 0.653545, 0.614758, 0.275953, 0.220234, 0.299921, maggie
0.589124, 0.311297, 0.27971, 0.342878, -0.483202, -0.391792, 0.0716855, 0.716416, 0.647079, 0.580546, 0.27971, 0.238672, 0.312026, maggie
0.686688, 0.243615, 0.217938, 0.275344, -0.963579, -0.726392, -0.357503, 0.775105, 0.715978, 0.643077, 0.205294, 0.175941, 0.232504, maggie
0.565426, 0.299317, 0.289525, 0.344418, -0.466302, -0.403761, 0.0729041, 0.699379, 0.624353, 0.567694, 0.266534, 0.247052, 0.314406, maggie
0.558012, 0.370946, 0.317742, 0.35284, -0.347823, -0.562746, 0.399664, 0.69139, 0.656731, 0.534491, 0.343733, 0.273423, 0.323403, maggie
0.594455, 0.297438, 0.257041, 0.293214, -0.1508, -0.311049, -0.0218038, 0.663427, 0.660524, 0.600717, 0.268431, 0.216835, 0.255011, maggie
0.540334, 0.305072, 0.272506, 0.299409, -0.00086432, -0.219437, 0.144035, 0.624557, 0.612857, 0.566933, 0.272828, 0.231291, 0.260244, maggie
0.584804, 0.358469, 0.301808, 0.341511, -0.44419, -0.693935, 0.117777, 0.704907, 0.668506, 0.575044, 0.328356, 0.250558, 0.30914, maggie
0.553707, 0.316677, 0.286179, 0.315645, -0.0884248, -0.276026, 0.0940875, 0.641823, 0.633347, 0.574998, 0.288655, 0.244989, 0.278482, maggie
0.605561, 0.287081, 0.266397, 0.337317, -0.667552, -0.418152, -0.0714839, 0.709955, 0.659899, 0.601239, 0.245332, 0.221706, 0.316777, maggie
0.525843, 0.323203, 0.346141, 0.388722, -0.352307, -0.0972626, 0.379546, 0.685143, 0.615652, 0.55889, 0.296413, 0.313155, 0.364202, maggie
0.566621, 0.3507, 0.315781, 0.355689, -0.410521, -0.442457, -0.393235, 0.665919, 0.65677, 0.627665, 0.318602, 0.269268, 0.31925, maggie
0.524203, 0.356931, 0.373279, 0.393114, -0.448488, -0.126859, 0.365407, 0.697494, 0.632919, 0.55385, 0.328847, 0.343922, 0.372958, maggie
0.458778, 0.34625, 0.335681, 0.372075, -0.317858, 0.171286, 0.542366, 0.634527, 0.555052, 0.510303, 0.318937, 0.303329, 0.345878, maggie
0.460585, 0.250265, 0.243755, 0.347195, 0.134286, -0.0393978, 0.438933, 0.557862, 0.519316, 0.505746, 0.20171, 0.201045, 0.312564, maggie
0.511688, 0.363865, 0.285706, 0.376086, -0.162927, -0.302092, -0.0619947, 0.617135, 0.596672, 0.610452, 0.342104, 0.239428, 0.357614, maggie
0.538542, 0.372185, 0.299906, 0.361362, -0.343032, -0.433899, -0.0332674, 0.654501, 0.62935, 0.584084, 0.347845, 0.249819, 0.340912, maggie
0.466529, 0.340427, 0.248265, 0.327424, 0.0583536, -0.467364, 0.202082, 0.550361, 0.557781, 0.504021, 0.318935, 0.198916, 0.306967, maggie
0.530407, 0.32875, 0.310786, 0.338945, -0.462732, -0.364067, -0.126339, 0.649639, 0.612846, 0.571849, 0.289903, 0.266032, 0.302798, maggie
0.488006, 0.370361, 0.30776, 0.359454, -0.0872599, -0.297485, 0.105533, 0.621354, 0.577727, 0.576952, 0.352492, 0.265327, 0.342082, maggie
0.306158, 0.285134, 0.220884, 0.238054, 0.369338, 0.816258, 1.27896, 0.470119, 0.365851, 0.310522, 0.245292, 0.179413, 0.193691, homer
0.206587, 0.295261, 0.263851, 0.208714, 0.890937, 0.97327, 2.37736, 0.379237, 0.337, 0.232517, 0.257863, 0.228235, 0.148753, homer
0.201746, 0.292242, 0.261725, 0.208021, 0.937092, 1.01647, 2.38386, 0.37285, 0.332189, 0.232171, 0.253595, 0.225281, 0.148051, homer
0.243321, 0.294978, 0.253707, 0.230012, 0.875612, 0.728202, 1.52815, 0.386496, 0.359009, 0.284072, 0.258323, 0.216104, 0.185361, homer
0.422457, 0.301965, 0.2994, 0.313705, -0.205489, 0.0915329, 0.532122, 0.570882, 0.507722, 0.448067, 0.259102, 0.261879, 0.278022, homer
0.240502, 0.302395, 0.254078, 0.220698, 0.491286, 0.948642, 1.71919, 0.432849, 0.33628, 0.27126, 0.268511, 0.216339, 0.168354, homer
0.263879, 0.291264, 0.233714, 0.242026, 0.748148, 0.72448, 1.23155, 0.396078, 0.361034, 0.30716, 0.255884, 0.191602, 0.200941, homer
0.145772, 0.290266, 0.232961, 0.196968, 1.34431, 1.64338, 2.63217, 0.343732, 0.270425, 0.212971, 0.241408, 0.184708, 0.13045, homer
0.245037, 0.306454, 0.251438, 0.229271, 0.642188, 0.85538, 1.61078, 0.425016, 0.345136, 0.276297, 0.269422, 0.213821, 0.181686, homer
0.287914, 0.318321, 0.252645, 0.238562, 0.378104, 0.770323, 1.33225, 0.474254, 0.373972, 0.298438, 0.282197, 0.209292, 0.19639, homer
0.259161, 0.307724, 0.241563, 0.229808, 0.584469, 0.800339, 1.48917, 0.428848, 0.351847, 0.284531, 0.272265, 0.200507, 0.18481, homer
0.226945, 0.306029, 0.254173, 0.230457, 0.834072, 0.920469, 1.68803, 0.401091, 0.339682, 0.27222, 0.266913, 0.216047, 0.181513, homer
0.33704, 0.342084, 0.261491, 0.229201, 0.0727904, 0.301099, 1.20002, 0.533706, 0.417712, 0.304835, 0.321657, 0.230542, 0.19298, homer
0.342616, 0.290019, 0.253104, 0.272942, 0.182645, 0.317304, 1.04343, 0.511954, 0.411554, 0.353598, 0.250653, 0.217507, 0.230269, homer
0.269317, 0.309003, 0.255184, 0.259531, 0.580889, 0.592378, 1.35094, 0.431967, 0.369969, 0.319487, 0.272862, 0.221335, 0.210627, homer
0.2214, 0.306655, 0.263069, 0.205701, 0.596767, 1.01984, 2.30823, 0.425555, 0.332547, 0.235635, 0.270916, 0.226984, 0.146778, homer
0.210999, 0.291881, 0.253177, 0.22982, 1.05523, 0.96399, 1.71372, 0.364096, 0.335119, 0.271003, 0.250231, 0.21468, 0.179925, homer
0.123162, 0.263622, 0.220767, 0.20776, 1.84033, 1.98072, 2.28729, 0.296247, 0.251102, 0.23144, 0.199774, 0.165684, 0.14837, homer
0.205959, 0.29014, 0.25304, 0.226394, 1.06154, 0.995077, 1.81452, 0.361191, 0.33123, 0.263936, 0.249265, 0.21504, 0.175057, homer
0.57598, 0.36148, 0.33084, 0.371414, -0.893456, -0.311375, 0.0977882, 0.749444, 0.651223, 0.574711, 0.31147, 0.280001, 0.339376, homer
0.34061, 0.312203, 0.228606, 0.240679, 0.382808, 0.220795, 0.907632, 0.459873, 0.427574, 0.338195, 0.287442, 0.189147, 0.207044, homer
0.367096, 0.308632, 0.216515, 0.237133, 0.202464, 0.183603, 0.949347, 0.485551, 0.444335, 0.334346, 0.280732, 0.178717, 0.201876, homer
0.349311, 0.314375, 0.224075, 0.233916, 0.303838, 0.22476, 0.975965, 0.471899, 0.43255, 0.329455, 0.289635, 0.185757, 0.198163, homer
0.515349, 0.325289, 0.291313, 0.333744, -0.700831, -0.347556, 0.234386, 0.660055, 0.585979, 0.515367, 0.272339, 0.243498, 0.301133, homer
0.616176, 0.302249, 0.327483, 0.377003, -0.784967, -0.486696, -0.127094, 0.731949, 0.691076, 0.642939, 0.260145, 0.282705, 0.345406, homer
0.538235, 0.376762, 0.341562, 0.370187, -0.535803, -0.307307, -0.279062, 0.682608, 0.626467, 0.638244, 0.338543, 0.297793, 0.341545, homer
0.590349, 0.375327, 0.351111, 0.376623, -0.597127, -0.528558, -0.15339, 0.716099, 0.693183, 0.624505, 0.338747, 0.31101, 0.347582, homer
0.515564, 0.374112, 0.377058, 0.387827, -0.400838, -0.149192, 0.115416, 0.669997, 0.631303, 0.596184, 0.342904, 0.347642, 0.359758, homer
0.625291, 0.353931, 0.317264, 0.352482, -0.956161, -0.59978, -0.449131, 0.754495, 0.694478, 0.655752, 0.30129, 0.269146, 0.307231, homer
0.43796, 0.296731, 0.282458, 0.359483, -0.291584, 0.0301947, 0.922029, 0.605813, 0.509754, 0.447494, 0.266531, 0.24891, 0.315955, homer
0.604687, 0.298062, 0.292902, 0.35281, -0.652912, -0.480508, -0.311623, 0.711107, 0.667384, 0.62924, 0.258267, 0.254447, 0.31738, homer
0.520083, 0.361772, 0.348133, 0.373986, -0.2791, -0.140823, 0.0787389, 0.649728, 0.626053, 0.595306, 0.336605, 0.318465, 0.346359, homer
0.363189, 0.331004, 0.288171, 0.324276, 0.182224, 0.393817, 1.29574, 0.525259, 0.462604, 0.408114, 0.295948, 0.247125, 0.26063, homer
0.385677, 0.312102, 0.289975, 0.307975, 0.159425, 0.396025, 0.655819, 0.535364, 0.474539, 0.431816, 0.278202, 0.248433, 0.265896, homer
0.556265, 0.314332, 0.289974, 0.358191, -0.52264, -0.522578, -0.0215556, 0.667866, 0.62842, 0.583115, 0.278319, 0.239029, 0.331574, homer
0.546186, 0.270705, 0.273636, 0.314711, -0.524217, -0.160122, 0.369672, 0.684371, 0.597377, 0.512834, 0.235543, 0.239977, 0.268997, homer
0.50723, 0.367826, 0.301856, 0.362999, -0.337391, -0.14961, 0.40007, 0.667659, 0.590611, 0.518147, 0.343609, 0.267734, 0.335975, homer
0.421936, 0.24181, 0.264564, 0.262968, 0.0231642, 0.304924, 1.17606, 0.593795, 0.472474, 0.369631, 0.1949, 0.225859, 0.20917, homer
0.572135, 0.304851, 0.281432, 0.33148, -0.533493, -0.579718, -0.14323, 0.676973, 0.638877, 0.58092, 0.269765, 0.238463, 0.298663, homer
0.493321, 0.30333, 0.306408, 0.317958, -0.455599, -0.104849, 0.199748, 0.65883, 0.555956, 0.512753, 0.26905, 0.264554, 0.286305, homer
0.527252, 0.327098, 0.30275, 0.330221, -0.39026, -0.116028, 0.347242, 0.685109, 0.596328, 0.517022, 0.29873, 0.268211, 0.292133, homer
0.56996, 0.281048, 0.254872, 0.311935, -0.685496, -0.59441, -0.00576627, 0.673979, 0.623868, 0.554449, 0.236454, 0.200018, 0.27196, homer
0.502466, 0.31267, 0.332452, 0.360065, -1.045, -0.113214, 0.380396, 0.720517, 0.562917, 0.511265, 0.258013, 0.303327, 0.333995, homer
0.575659, 0.254761, 0.246749, 0.338458, -0.566233, -0.255169, 0.335927, 0.675762, 0.632706, 0.528495, 0.210713, 0.202119, 0.298537, homer
0.494439, 0.241963, 0.212295, 0.255885, -0.322417, -0.20507, 1.13054, 0.607308, 0.547557, 0.375902, 0.210928, 0.178954, 0.205728, homer
0.535003, 0.343258, 0.290627, 0.310023, -0.464023, -0.0546797, 0.326635, 0.668111, 0.607995, 0.536209, 0.303098, 0.253317, 0.270708, homer
0.389982, 0.281846, 0.27631, 0.283045, 0.197916, 0.426026, 0.683393, 0.5472, 0.454851, 0.43236, 0.241428, 0.235135, 0.233882, homer
0.522273, 0.323384, 0.328818, 0.363972, -0.496079, -0.184048, 0.610207, 0.696239, 0.605192, 0.500744, 0.292065, 0.293017, 0.331295, homer
0.493536, 0.344181, 0.326345, 0.348999, -0.382005, 0.132275, 0.167271, 0.679933, 0.557964, 0.574912, 0.315715, 0.297407, 0.331374, homer
0.535983, 0.29628, 0.268697, 0.294522, -0.359554, -0.407943, 0.0019221, 0.63538, 0.598602, 0.556448, 0.261582, 0.22373, 0.259496, homer
0.537178, 0.284862, 0.271288, 0.325902, -0.464921, -0.336259, 0.303441, 0.660975, 0.599833, 0.508964, 0.252112, 0.232283, 0.29571, homer
0.478738, 0.297926, 0.261157, 0.263933, -0.465682, -0.196244, 1.29732, 0.627239, 0.548648, 0.37356, 0.260131, 0.22006, 0.19854, homer
0.555928, 0.319961, 0.295053, 0.2828, -0.342103, -0.149573, -0.144539, 0.652894, 0.623778, 0.619366, 0.287252, 0.261518, 0.244884, homer
0.441912, 0.233721, 0.240203, 0.23214, 0.0811326, 0.0788055, 1.27047, 0.546604, 0.513691, 0.334542, 0.193686, 0.204795, 0.177535, homer
0.477895, 0.346279, 0.304645, 0.338228, -0.293814, -0.166248, 0.513124, 0.628991, 0.568786, 0.478744, 0.321302, 0.271973, 0.311681, homer
0.472595, 0.280684, 0.253263, 0.28383, -0.0477211, 0.0976813, 0.572221, 0.6035, 0.532747, 0.43402, 0.238806, 0.213561, 0.238833, homer
0.451792, 0.251384, 0.230314, 0.251952, -0.0533658, 0.127276, 0.863845, 0.575437, 0.505459, 0.381504, 0.213805, 0.192741, 0.20736, homer
0.444838, 0.257042, 0.244372, 0.261668, 0.00198157, 0.152777, 1.13627, 0.578882, 0.503903, 0.375927, 0.218941, 0.20298, 0.212306, homer
0.497672, 0.285601, 0.263053, 0.292937, -0.203352, -0.0979544, 0.323137, 0.608052, 0.563665, 0.486779, 0.240563, 0.218337, 0.252994, homer
0.391085, 0.32664, 0.262119, 0.291484, 0.159377, 0.278338, 0.561431, 0.50712, 0.483323, 0.431615, 0.296561, 0.220393, 0.24865, homer
0.40671, 0.295671, 0.281121, 0.29126, -0.0932576, 0.198497, 1.03457, 0.574069, 0.484298, 0.379952, 0.26254, 0.247572, 0.247484, homer
0.415242, 0.36003, 0.313433, 0.353127, -0.298225, 0.44623, 0.419298, 0.627774, 0.486185, 0.515047, 0.333103, 0.269329, 0.323958, bart
0.304075, 0.308547, 0.249346, 0.240338, 0.06784, 0.888817, 1.85364, 0.537518, 0.362315, 0.285762, 0.269547, 0.205137, 0.180018, bart
0.434727, 0.354558, 0.327096, 0.330956, -0.238513, 0.196143, 0.52053, 0.623428, 0.525187, 0.480362, 0.328228, 0.296912, 0.295456, bart
0.174403, 0.315313, 0.245092, 0.19583, 1.00842, 1.44556, 3.2818, 0.391252, 0.295616, 0.206151, 0.273393, 0.19884, 0.109839, bart
0.507812, 0.355643, 0.319437, 0.339842, -0.341847, -0.00745167, 0.225243, 0.65883, 0.589549, 0.559663, 0.333927, 0.296903, 0.311964, bart
0.320098, 0.333549, 0.280963, 0.202296, 0.175495, 0.284597, 2.03064, 0.513303, 0.423666, 0.250404, 0.29944, 0.250673, 0.146206, bart
0.500919, 0.350206, 0.281035, 0.319306, -0.46499, -0.46114, 0.427317, 0.640275, 0.578263, 0.498924, 0.314472, 0.241431, 0.288663, bart
0.49977, 0.336937, 0.309162, 0.364197, -0.319447, -0.17314, 0.514064, 0.64078, 0.590571, 0.512636, 0.306751, 0.267834, 0.339739, bart
0.335141, 0.285112, 0.269527, 0.246445, 0.34949, 0.508686, 1.80359, 0.497652, 0.426717, 0.294964, 0.241975, 0.227561, 0.183725, bart
0.374847, 0.268257, 0.244045, 0.257133, 0.250888, 0.59175, 0.651376, 0.491846, 0.437529, 0.421455, 0.228678, 0.203718, 0.217201, bart
0.431051, 0.250557, 0.225782, 0.274227, -0.056611, 0.449129, 1.06499, 0.566169, 0.478745, 0.386879, 0.212884, 0.187948, 0.230302, bart
0.438756, 0.372965, 0.328015, 0.298929, -0.298636, 0.075868, 0.9648, 0.647853, 0.533536, 0.41571, 0.348101, 0.298707, 0.24936, bart
0.469332, 0.332772, 0.306861, 0.353114, -0.369274, -0.0425573, 0.605605, 0.621543, 0.558495, 0.485375, 0.295626, 0.2629, 0.321443, bart
0.489124, 0.340092, 0.319415, 0.348627, -0.421068, -0.14385, 0.231033, 0.635624, 0.576634, 0.535214, 0.301863, 0.279869, 0.309582, bart
0.406955, 0.262671, 0.246751, 0.264139, -0.0223424, 0.209579, 0.966762, 0.538576, 0.467347, 0.391855, 0.223363, 0.205418, 0.220554, bart
